,Actor,PageLink
866,Vaishali Kasaravalli,/wiki/Vaishali_Kasaravalli
867,Vandana Gupte,/wiki/Vandana_Gupte
868,Vanishree,/wiki/Vanishree
869,Vanisri,/wiki/Vanisri
870,Vani Viswanath,/wiki/Vani_Viswanath
871,Vaishnavi Mahant,/wiki/Vaishnavi_Mahant
872,Vrushika Mehta,/wiki/Vrushika_Mehta
873,Varalaxmi Sarathkumar,/wiki/Varalaxmi_Sarathkumar
874,Varsha Bollamma,/wiki/Varsha_Bollamma
875,Varsha Usgaonkar,/wiki/Varsha_Usgaonkar
876,Vasundhara Das,/wiki/Vasundhara_Das
877,Veda Sastry,/wiki/Veda_Sastry
878,Veena Malik,/wiki/Veena_Malik
879, title=,<a href=
880,Vibha Chibber,/wiki/Vibha_Chibber
881,Vidhubala,/wiki/Vidhubala
882,Vidya Balan,/wiki/Vidya_Balan
883,Vithika Sheru,/wiki/Vithika_Sheru
884,Vidya Malvade,/wiki/Vidya_Malvade
885,Vidya Sinha,/wiki/Vidya_Sinha
886,Vishakha Singh,/wiki/Vishakha_Singh
887,Vijeta Pandit,/wiki/Vijeta_Pandit
888,Vijayalakshmi (Kannada actress),/wiki/Vijayalakshmi_(Kannada_actress)
889,Vijayashanti,/wiki/Vijayashanti
890,Vimala Raman,/wiki/Vimala_Raman
891,Vinaya Prasad,/wiki/Vinaya_Prasad
892,Vyjayantimala,/wiki/Vyjayantimala
893,Yagna Shetty,/wiki/Yagna_Shetty
894,Yami Gautam,/wiki/Yami_Gautam
895,Yogeeta Bali,/wiki/Yogeeta_Bali
896,Yana Gupta,/wiki/Yana_Gupta
897,Yukta Mookhey,/wiki/Yukta_Mookhey
898,Yuvika Chaudhary,/wiki/Yuvika_Chaudhary
899,Zaheera,/wiki/Zaheera
900,Zarina Wahab,/wiki/Zarina_Wahab
901,Zarine Khan,/wiki/Zarine_Khan
902,Zeenat Aman,/wiki/Zeenat_Aman
903,Zoya Khan,/wiki/Zoya_Khan
904,Zubeida,/wiki/Zubeida
