,Organisation,PageLink
0,Aaranyak,/wiki/Aaranyak
1,Centre for Ecology &amp; Rural Development,/wiki/Centre_for_Ecology_%26_Rural_Development
2,Centre for Environment Education,/wiki/Centre_for_Environment_Education
3,Centre for People's Forestry,/wiki/Centre_for_People%27s_Forestry
4,Centre for Science and Environment,/wiki/Centre_for_Science_and_Environment
5,Cities for Forests,/wiki/Cities_for_Forests
6,Conserve (NGO),/wiki/Conserve_(NGO)
7,Delhi Greens,/wiki/Delhi_Greens
8,"Department of Environment and Forests, Government of Assam","/wiki/Department_of_Environment_and_Forests,_Government_of_Assam"
9,Development Alternatives Group,/wiki/Development_Alternatives_Group
10,Ecosphere (social enterprise),/wiki/Ecosphere_(social_enterprise)
11,The Energy and Resources Institute,/wiki/The_Energy_and_Resources_Institute
12,Environmentalist Foundation of India,/wiki/Environmentalist_Foundation_of_India
13,Exnora International,/wiki/Exnora_International
14,Foundation for Ecological Security,/wiki/Foundation_for_Ecological_Security
15,Foundation for Revitalisation of Local Health Traditions,/wiki/Foundation_for_Revitalisation_of_Local_Health_Traditions
16,Give Me Trees Trust,/wiki/Give_Me_Trees_Trust
17,Goa Foundation,/wiki/Goa_Foundation
18,Green Movement in India,/wiki/Green_Movement_in_India
19,Greenpeace India,/wiki/Greenpeace_India
20,GVNML,/wiki/GVNML
21,Haryana Environment Protection Council,/wiki/Haryana_Environment_Protection_Council
22,"Himalayan Welfare Organization, Pahalgam","/wiki/Himalayan_Welfare_Organization,_Pahalgam"
23,India Nature Watch,/wiki/India_Nature_Watch
24,Indian Council of Forestry Research and Education,/wiki/Indian_Council_of_Forestry_Research_and_Education
25,Indian Institute of Ecology and Environment,/wiki/Indian_Institute_of_Ecology_and_Environment
26,Indian Institute of Toxicology Research,/wiki/Indian_Institute_of_Toxicology_Research
27,Indian Youth Climate Network,/wiki/Indian_Youth_Climate_Network
28,Kalpavriksh,/wiki/Kalpavriksh
29,Kerala Sasthra Sahithya Parishad,/wiki/Kerala_Sasthra_Sahithya_Parishad
30,The Kerala State Biodiversity Board,/wiki/The_Kerala_State_Biodiversity_Board
31,List of forest research institutes in India,/wiki/List_of_forest_research_institutes_in_India
32,Ladakh Ecological Development and Environmental Group,/wiki/Ladakh_Ecological_Development_and_Environmental_Group
33,Madras Naturalists' Society,/wiki/Madras_Naturalists%27_Society
34,MigrantWatch,/wiki/MigrantWatch
35,MS Swaminathan Research Foundation,/wiki/MS_Swaminathan_Research_Foundation
36,National Biodiversity Authority,/wiki/National_Biodiversity_Authority
37,National Green Corps,/wiki/National_Green_Corps
38,Nature Club Surat,/wiki/Nature_Club_Surat
39,Nature Conservation Foundation,/wiki/Nature_Conservation_Foundation
40,Nature's Beckon,/wiki/Nature%27s_Beckon
41,Navdanya,/wiki/Navdanya
42,Nilgiri Wildlife and Environment Association,/wiki/Nilgiri_Wildlife_and_Environment_Association
43,People's Science Institute,/wiki/People%27s_Science_Institute
44,Pondicherry Science Forum,/wiki/Pondicherry_Science_Forum
45,Poovulagin Nanbargal,/wiki/Poovulagin_Nanbargal
46,Prakratik Society,/wiki/Prakratik_Society
47,PSG Group,/wiki/PSG_Group
48,Public Affairs Centre India,/wiki/Public_Affairs_Centre_India
49,Sadhana Forest,/wiki/Sadhana_Forest
50,Sálim Ali Centre for Ornithology and Natural History,/wiki/S%C3%A1lim_Ali_Centre_for_Ornithology_and_Natural_History
51,Sankat Mochan Foundation,/wiki/Sankat_Mochan_Foundation
52,Save the Brahmaputra River,/wiki/Save_the_Brahmaputra_River
53,Siruthuli,/wiki/Siruthuli
54,Society for Andaman and Nicobar Ecology,/wiki/Society_for_Andaman_and_Nicobar_Ecology
55,Society for Environment and Education,/wiki/Society_for_Environment_and_Education
56,Sulabh International,/wiki/Sulabh_International
57,The Ugly Indian,/wiki/The_Ugly_Indian
58,Vindhyan Ecology and Natural History Foundation,/wiki/Vindhyan_Ecology_and_Natural_History_Foundation
59,Water Literacy Foundation,/wiki/Water_Literacy_Foundation
60,Wildlife Protection Society of India,/wiki/Wildlife_Protection_Society_of_India
61,Wildlife SOS,/wiki/Wildlife_SOS
62,Wildlife Trust of India,/wiki/Wildlife_Trust_of_India
63,World Sustainable Development Summit (WSDS),/wiki/World_Sustainable_Development_Summit_(WSDS)
