,Institute,PageLink
302,National Law University,/wiki/National_Law_University
305,Indian Institute of Management Tiruchirappalli,/wiki/Indian_Institute_of_Management_Tiruchirappalli
314,"National Institute of Pharmaceutical Education and Research, Hyderabad","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Hyderabad"
318,Nizam's Institute of Medical Sciences,/wiki/Nizam%27s_Institute_of_Medical_Sciences
321,NALSAR University of Law,/wiki/NALSAR_University_of_Law
323,National Law University,/wiki/National_Law_University
330,Indian Institute of Management Lucknow,/wiki/Indian_Institute_of_Management_Lucknow
331,Dr. Ram Manohar Lohia National Law University,/wiki/Dr._Ram_Manohar_Lohia_National_Law_University
336,"National Institute of Pharmaceutical Education and Research, Raebareli","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Raebareli"
337,Rajiv Gandhi Institute of Petroleum Technology,/wiki/Rajiv_Gandhi_Institute_of_Petroleum_Technology
345,"Indian Institute of Information Technology, Allahabad","/wiki/Indian_Institute_of_Information_Technology,_Allahabad"
351,Sanjay Gandhi Postgraduate Institute of Medical Sciences,/wiki/Sanjay_Gandhi_Postgraduate_Institute_of_Medical_Sciences
356,Indian Institute of Management Kashipur,/wiki/Indian_Institute_of_Management_Kashipur
357,"All India Institute of Medical Sciences, Rishikesh",/wiki/AIIMS_Rishikesh
367,Indian Institute of Information Technology,"/wiki/Indian_Institute_of_Information_Technology,_Kalyani"
370,Indian Institute of Management Calcutta,/wiki/Indian_Institute_of_Management_Calcutta
371,"National Institute of Pharmaceutical Education and Research, Kolkata","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Kolkata"
377,"Indian Institute of Engineering Science and Technology, Shibpur","/wiki/Indian_Institute_of_Engineering_Science_and_Technology,_Shibpur"
379,Indian Statistical Institute,/wiki/Indian_Statistical_Institute
383,"Indian Institute of Science Education and Research, Kolkata","/wiki/Indian_Institute_of_Science_Education_and_Research,_Kolkata"
387,West Bengal National University of Juridical Sciences,/wiki/West_Bengal_National_University_of_Juridical_Sciences
