,Town,PageLink
151,Kaladhungi,/wiki/Kaladhungi
152,Kallakurichi,/wiki/Kallakurichi
153,Kalimpong,/wiki/Kalimpong
154,Kalpi,/wiki/Kalpi
155,Kamareddy,/wiki/Kamareddy
156,Kanigiri,/wiki/Kanigiri
157,Kandukur,/wiki/Kandukur
158,Kanhangad,/wiki/Kanhangad
159,Kannur,/wiki/Kannur
160,Kapadvanj,/wiki/Kapadvanj
161,Karaikal,/wiki/Karaikal
162,Puducherry,/wiki/Puducherry
163,Karimganj,/wiki/Karimganj
164,Karjat,/wiki/Karjat
165,Karnaprayag,/wiki/Karnaprayag
166,Karur,/wiki/Karur
167,Kasaragod,/wiki/Kasaragod
168,Kathua,/wiki/Kathua
169,Kavali,/wiki/Kavali
170,Kayamkulam,/wiki/Kayamkulam
171,Kedarnath,/wiki/Kedarnath
172,Kela Khera,/wiki/Kela_Khera
173,Kendrapara,/wiki/Kendrapara
174,Kendujhar,/wiki/Kendujhar
175,Keshod,/wiki/Keshod
176,Khambhat,/wiki/Khambhat
177,"Khanda, Sonipat","/wiki/Khanda,_Sonipat"
178,"Kharar, Mohali","/wiki/Kharar,_Mohali"
179,Khatima,/wiki/Khatima
180,Khowai,/wiki/Khowai
181,Kichha,/wiki/Kichha
182,Kirtinagar,/wiki/Kirtinagar
183,Kodungallur,/wiki/Kodungallur
184,Kohima,/wiki/Kohima
185,Koratla,/wiki/Koratla
186,Kot Kapura,/wiki/Kot_Kapura
187,Kotdwar,/wiki/Kotdwar
188,Kothagudem,/wiki/Kothagudem
189,Kottayam,/wiki/Kottayam
190,Kovvur,/wiki/Kovvur
191,Kunnamkulam,/wiki/Kunnamkulam
192,Kyathampalle,/wiki/Kyathampalle
193,"Kumarganj, Faizabad","/wiki/Kumarganj,_Faizabad"
194,L,mw-headline
195,Lachhmangarh,/wiki/Lachhmangarh
196,Ladnu,/wiki/Ladnu
197,Ladwa,/wiki/Ladwa
198,"Lahar, India","/wiki/Lahar,_India"
199,Laharpur,/wiki/Laharpur
200,Lakheri,/wiki/Lakheri
201,Lakhisarai,/wiki/Lakhisarai
202,Laksar,/wiki/Laksar
203,Lakshmeshwar,/wiki/Lakshmeshwar
204,Lal Gopalganj Nindaura,/wiki/Lal_Gopalganj_Nindaura
205,Lalgudi,/wiki/Lalgudi
206,Lalkuan,/wiki/Lalkuan
207,Lalsot,/wiki/Lalsot
208,Landhaura,/wiki/Landhaura
209,Lilong (Thoubal),/wiki/Lilong_(Thoubal)
210,Limbdi,/wiki/Limbdi
211,Lingsugur,/wiki/Lingsugur
212,"Loha, Nanded","/wiki/Loha,_Nanded"
213,Lohaghat,/wiki/Lohaghat
214,Lohardaga,/wiki/Lohardaga
215,Lonar,/wiki/Lonar
216,Lonavla,/wiki/Lonavla
217,Longowal,/wiki/Longowal
218,Losal,/wiki/Losal
219,Lumding,/wiki/Lumding
220,Lunawada,/wiki/Lunawada
221,Lunglei,/wiki/Lunglei
222,text-align:center;,text-align:right;
223,Macherla,/wiki/Macherla
224,"Maddur, Mandya","/wiki/Maddur,_Mandya"
225,Madhepura,/wiki/Madhepura
226,"Madhubani, India","/wiki/Madhubani,_India"
227,Madhugiri,/wiki/Madhugiri
228,"Madhupur, Deoghar","/wiki/Madhupur,_Deoghar"
229,Madikeri,/wiki/Madikeri
230,Magadi,/wiki/Magadi
231,Mahad,/wiki/Mahad
232,Mahalingapura,/wiki/Mahalingapura
233,"Maharajganj, Siwan","/wiki/Maharajganj,_Siwan"
234,Maharajpur,/wiki/Maharajpur
235,Mahasamund,/wiki/Mahasamund
236,"Mahé, India","/wiki/Mah%C3%A9,_India"
237,Puducherry,/wiki/Puducherry
238,Manendragarh,/wiki/Manendragarh
239,Mahendragarh,/wiki/Mahendragarh
240,Mahnar Bazar,/wiki/Mahnar_Bazar
241,Mahua Dabra Haripura,/wiki/Mahua_Dabra_Haripura
242,Mahua Kheraganj,/wiki/Mahua_Kheraganj
243,Maihar,/wiki/Maihar
244,Mainaguri,/wiki/Mainaguri
245,Makhdumpur,/wiki/Makhdumpur
246,Makrana,/wiki/Makrana
247,English Bazar,/wiki/English_Bazar
248,Malaj Khand,/wiki/Malaj_Khand
249,Malavalli,/wiki/Malavalli
250,Malkangiri,/wiki/Malkangiri
251,"Malkapur, Buldhana","/wiki/Malkapur,_Buldhana"
252,Malout,/wiki/Malout
253,Malpura,/wiki/Malpura
254,Malur,/wiki/Malur
255,Manachanallur,/wiki/Manachanallur
256,Manavadar,/wiki/Manavadar
257,Manawar,/wiki/Manawar
258,Mandalgarh,/wiki/Mandalgarh
259,Mandamarri,/wiki/Mandamarri
260,Mandapeta,/wiki/Mandapeta
261,Mandawa,/wiki/Mandawa
262,Mandi Dabwali,/wiki/Mandi_Dabwali
263,Mandideep,/wiki/Mandideep
264,Mandla,/wiki/Mandla
265,Mandvi,/wiki/Mandvi
266,Maner Sharif,/wiki/Maner_Sharif
267,Mangaldoi,/wiki/Mangaldoi
268,Mangalvedhe,/wiki/Mangalvedhe
269,Manglaur,/wiki/Manglaur
270,"Mangrol, Kathiawar","/wiki/Mangrol,_Kathiawar"
271,Mangrulpir,/wiki/Mangrulpir
272,Manihari,/wiki/Manihari
273,Manjlegaon,/wiki/Manjlegaon
274,Mankachar,/wiki/Mankachar
275,Manmad,/wiki/Manmad
276,"Mansa, Punjab","/wiki/Mansa,_Punjab"
277,Manuguru,/wiki/Manuguru
278,Manvi,/wiki/Manvi
279,Manwath,/wiki/Manwath
280,Mapusa,/wiki/Mapusa
281,Margao,/wiki/Margao
282,Marhaura,/wiki/Marhaura
283,"Mariani, Jorhat","/wiki/Mariani,_Jorhat"
284,Marigaon,/wiki/Marigaon
285,Markapur,/wiki/Markapur
286,Masaurhi,/wiki/Masaurhi
